iter	Passed	Remaining
751	1259	415
752	1261	413
753	1262	411
754	1265	410
755	1267	409
756	1268	407
757	1270	405
758	1272	403
759	1273	402
760	1275	400
761	1278	399
762	1279	397
763	1281	395
764	1283	394
765	1285	392
766	1286	390
767	1288	389
768	1290	387
769	1291	385
770	1293	384
771	1294	382
772	1296	380
773	1298	379
774	1300	377
775	1302	375
776	1303	374
777	1305	372
778	1307	370
779	1310	369
780	1311	367
781	1313	366
782	1316	364
783	1318	363
784	1320	361
785	1322	359
786	1323	358
787	1324	356
788	1326	354
789	1328	353
790	1330	351
791	1331	349
792	1333	348
793	1334	346
794	1335	344
795	1337	342
796	1339	341
797	1340	339
798	1342	337
799	1344	336
800	1346	334
801	1347	332
802	1349	330
803	1351	329
804	1352	327
805	1354	325
806	1356	324
807	1358	322
808	1359	321
809	1361	319
810	1363	317
811	1364	316
812	1366	314
813	1368	312
814	1370	311
815	1371	309
816	1373	307
817	1376	306
818	1378	304
819	1379	302
820	1381	301
821	1382	299
822	1384	297
823	1386	296
824	1387	294
825	1389	292
826	1390	290
827	1392	289
828	1393	287
829	1395	285
830	1396	284
831	1398	282
832	1401	280
833	1402	279
834	1404	277
835	1406	275
836	1407	274
837	1409	272
838	1411	270
839	1412	269
840	1415	267
841	1416	265
842	1418	264
843	1420	262
844	1421	260
845	1423	259
846	1424	257
847	1427	255
848	1428	254
849	1430	252
850	1432	250
851	1434	249
852	1436	247
853	1438	245
854	1440	244
855	1442	242
856	1443	240
857	1445	239
858	1447	237
859	1449	235
860	1451	234
861	1453	232
862	1455	231
863	1457	229
864	1459	227
865	1461	226
866	1463	224
867	1465	222
868	1467	221
869	1469	219
870	1471	217
871	1472	216
872	1474	214
873	1476	212
874	1477	211
875	1479	209
876	1481	207
877	1483	206
878	1484	204
879	1485	202
880	1487	200
881	1489	199
882	1490	197
883	1492	195
884	1493	194
885	1494	192
886	1496	190
887	1498	188
888	1500	187
889	1502	185
890	1503	183
891	1505	182
892	1507	180
893	1509	178
894	1511	177
895	1513	175
896	1515	174
897	1517	172
898	1519	170
899	1520	168
900	1522	167
901	1524	165
902	1526	163
903	1528	162
904	1529	160
905	1531	158
906	1532	157
907	1534	155
908	1535	153
909	1537	152
910	1539	150
911	1541	148
912	1542	147
913	1544	145
914	1545	143
915	1547	141
916	1548	140
917	1550	138
918	1552	136
919	1553	135
920	1555	133
921	1557	131
922	1558	130
923	1560	128
924	1562	126
925	1563	124
926	1564	123
927	1566	121
928	1568	119
929	1570	118
930	1572	116
931	1573	114
932	1575	113
933	1577	111
934	1579	109
935	1580	108
936	1582	106
937	1584	104
938	1586	103
939	1588	101
940	1590	99
941	1591	98
942	1594	96
943	1596	94
944	1597	92
945	1599	91
946	1600	89
947	1602	87
948	1603	86
949	1605	84
950	1607	82
951	1609	81
952	1611	79
953	1612	77
954	1614	76
955	1615	74
956	1617	72
957	1619	70
958	1620	69
959	1622	67
960	1623	65
961	1625	64
962	1627	62
963	1628	60
964	1630	59
965	1632	57
966	1634	55
967	1635	54
968	1637	52
969	1638	50
970	1639	48
971	1641	47
972	1643	45
973	1644	43
974	1646	42
975	1648	40
976	1650	38
977	1651	37
978	1653	35
979	1654	33
980	1656	32
981	1658	30
982	1660	28
983	1661	27
984	1663	25
985	1665	23
986	1666	21
987	1668	20
988	1669	18
989	1671	16
990	1673	15
991	1675	13
992	1677	11
993	1679	10
994	1681	8
995	1684	6
996	1686	5
997	1687	3
998	1689	1
999	1691	0
